Sexo;Ciclo;Habilidades TIC;Total
Ambos sexos;Técnico superior en promoción de igualdad de género Interpretación de Lenguajes de Signos;No usuario de las TIC;0,0
Ambos sexos;24 - HOSTELERÍA Y TURISMO;Total;100,0
Ambos sexos;24 - HOSTELERÍA Y TURISMO;Usuario experto;11,3
Ambos sexos;24 - HOSTELERÍA Y TURISMO;Usuario de nivel avanzado;63,4
Ambos sexos;24 - HOSTELERÍA Y TURISMO;Usuario de nivel básico;25,2
Ambos sexos;24 - HOSTELERÍA Y TURISMO;No usuario de las TIC;0,1
Ambos sexos;Técnico superior en gestión de alojamientos turísticos;Total;100,0
Ambos sexos;Técnico superior en gestión de alojamientos turísticos;Usuario experto;15,2
Ambos sexos;Técnico superior en gestión de alojamientos turísticos;Usuario de nivel avanzado;59,2
Ambos sexos;Técnico superior en gestión de alojamientos turísticos;Usuario de nivel básico;25,6
Ambos sexos;Técnico superior en gestión de alojamientos turísticos;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en guía, información y asistencias turísticas;Total;100,0
Ambos sexos;Técnico superior en guía, información y asistencias turísticas;Usuario experto;10,3
Ambos sexos;Técnico superior en guía, información y asistencias turísticas;Usuario de nivel avanzado;72,5
Ambos sexos;Técnico superior en guía, información y asistencias turísticas;Usuario de nivel básico;17,2
Ambos sexos;Técnico superior en guía, información y asistencias turísticas;No usuario de las TIC;0,0
Ambos sexos;Técnico superior en agencias de viajes y gestión de eventos;Total;100,0
Ambos sexos;Técnico superior en agencias de viajes y gestión de eventos;Usuario experto;9,5
Ambos sexos;Técnico superior en agencias de viajes y gestión de eventos;Usuario de nivel avanzado;75,3
Ambos sexos;Técnico superior en agencias de viajes y gestión de eventos;Usuario de nivel básico;15,2
Ambos sexos;Técnico superior en agencias de viajes y gestión de eventos;No usuario de las TIC;0,0
Ambos sexos;TS en dirección de cocina y TS en dirección de servicios de restauración;Total;100,0
Ambos sexos;TS en dirección de cocina y TS en dirección de servicios de restauración;Usuario experto;10,7
Ambos sexos;TS en dirección de cocina y TS en dirección de servicios de restauración;Usuario de nivel avanzado;52,9
Ambos sexos;TS en dirección de cocina y TS en dirección de servicios de restauración;Usuario de nivel básico;36,2
Ambos sexos;TS en dirección de cocina y TS en dirección de servicios de restauración;No usuario de las TIC;0,2
Ambos sexos;25 - ACTIVIDADES FÍSICAS Y DEPORTIVAS;Total;100,0
Ambos sexos;25 - ACTIVIDADES FÍSICAS Y DEPORTIVAS;Usuario experto;10,6
Ambos sexos;25 - ACTIVIDADES FÍSICAS Y DEPORTIVAS;Usuario de nivel avanzado;66,3
Ambos sexos;25 - ACTIVIDADES FÍSICAS Y DEPORTIVAS;Usuario de nivel básico;22,3
Ambos sexos;25 - ACTIVIDADES FÍSICAS Y DEPORTIVAS;No usuario de las TIC;0,8
Ambos sexos;15 - VIDRIO Y CERÁMICA 16 - MADERA, MUEBLE Y CORCHO 17 - TEXTIL, CONFECCIÓN Y PIEL 26 - ARTES Y ARTESANÍAS;Total;100,0
